DOI,sensor type (gas/liquid),detect target,lower detection limit (log ppm),upper detection limit (log ppm),probe material,test operating temperature (celcius),pH value (-1 for gas detect),test medium/electrolyte
10.1002/adma.202403678,liquid,na+,-1.638272164,0.662757832,indium oxide,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1109/ICSENS.2013.6688187,gas,nitrogen dioxide,-1.346787486,,indium nitride,25,-1,nitrogen
10.1016/j.proeng.2015.08.677,gas,formaldehyde,-2,,silicon carbide,25,-1,oxygen/nitrogen
10.1016/j.proeng.2015.08.677,gas,benzene,-3,,silicon carbide,25,-1,oxygen/nitrogen
10.1016/j.proeng.2015.08.677,gas,naphthalene,-3.301029996,,silicon carbide,25,-1,oxygen/nitrogen
10.1109/NEMS.2011.6017305,liquid,h+,-11,3,carbon nanotube,25,,water
10.1021/jp506644w,gas,sulfur dioxide,1,1.698970004,platinum/silicon dioxide,200,-1,oxygen/nitrogen
10.1039/d3nj05514k,liquid,h+,-9.96,1.79,carbon nanotube,25,,water
10.1109/Transducers.2013.6626750,gas,benzene,-1.301029996,1.698970004,4-amino-n-methylphthalimide,25,-1,oxygen/nitrogen
10.1002/smll.202002875,liquid,hg2+,-0.697690722,1.302309278,carbon nanotube,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1021/acsnano.9b10090,liquid,hydrogen peroxide,-2.468521083,1.531478917,sodium 2-anthraquinonesulfonate,25,7.45,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1021/acsami.6b12064,gas,nitrogen dioxide,2,,tellurium,25,-1,nitrogen
10.1039/d3fd00149k,liquid,hydrogen peroxide,-2.769551079,-0.468521083,"4,4'-thiobisbenzenethiol",25,7.4,water
10.1109/DRC.2017.7999422,liquid,k+,-7.408935393,2.892094603,valinomycin,25,7.4,tromethamine/hydrochloric acid/water
